Order id,Tracking number,Carrier,Label Created Date,Delivered date,Events,Warehouse
3870199948740,9400111107984511335384,USPS,20-01-2022 02:54,,"Status: out_for_delivery: Description: January 26 6:10 am Out for Delivery, Expected Delivery by 9:00pm in PINELLAS PARK, FL, date: 26-01-2022 11:10",Hardway Warehouse
3870199923451,9400111107984511855127,USPS,20-01-2022 02:50,24-01-2022 19:20,"Status: delivered: Description: January 24 2:20 pm Delivered, In/At Mailbox in PITTSFIELD, IL, date: 24-01-2022 19:20",Hardway Warehouse
2870149048586,9400111107984514465521,USPS,19-01-2022 20:32,24-01-2022 17:25,"Status: delivered: Description: January 24 12:25 pm Delivered, In/At Mailbox in WHARTON, TX, date: 24-01-2022 17:25",Hardway Warehouse
2870136875641,9400111107984514618569,USPS,19-01-2022 20:35,24-01-2022 19:47,"Status: delivered: Description: January 24 2:47 pm Delivered, In/At Mailbox in ROTONDA WEST, FL, date: 24-01-2022 19:47",Hardway Warehouse
2870149210660,9400111107984514660438,USPS,19-01-2022 20:39,,"Status: in_transit: Description: January 24 In Transit, Arriving Late, date: 24-01-2022 05:00",Hardway Warehouse
3870152319989,9400111107984514698400,USPS,19-01-2022 20:37,24-01-2022 17:53,"Status: delivered: Description: January 24 12:53 pm Delivered, In/At Mailbox in COMANCHE, OK, date: 24-01-2022 17:53",Hardway Warehouse
3870177702055,9400111107984514933372,USPS,19-01-2022 20:41,23-01-2022 18:15,"Status: delivered: Description: January 23 1:15 pm Delivered, Front Door/Porch in INDIO, CA, date: 23-01-2022 18:15",Hardway Warehouse
2870137883720,9400111107984514966158,USPS,19-01-2022 20:46,21-01-2022 19:11,"Status: delivered: Description: January 21 2:11 pm Delivered, In/At Mailbox in SAINT CHARLES, MO, date: 21-01-2022 19:11",Hardway Warehouse
3870177579446,9400111107984514970834,USPS,19-01-2022 20:43,22-01-2022 15:45,"Status: delivered: Description: January 22 10:45 am Delivered, In/At Mailbox in COMFORT, TX, date: 22-01-2022 15:45",Hardway Warehouse
3870187740373,9400111107984517007926,USPS,19-01-2022 20:55,24-01-2022 17:59,"Status: delivered: Description: January 24 12:59 pm Delivered, In/At Mailbox in BATON ROUGE, LA, date: 24-01-2022 17:59",Hardway Warehouse
3870176752378,9400111107984517035936,USPS,19-01-2022 20:48,24-01-2022 16:00,"Status: delivered: Description: January 24 11:00 am Delivered, In/At Mailbox in SEDALIA, MO, date: 24-01-2022 16:00",Hardway Warehouse
3870151897088,9400111107984517063632,USPS,19-01-2022 20:53,22-01-2022 17:47,"Status: delivered: Description: January 22 12:47 pm Delivered, In/At Mailbox in MENASHA, WI, date: 22-01-2022 17:47",Hardway Warehouse
3870185786933,9400111107984517102126,USPS,19-01-2022 21:37,24-01-2022 19:33,"Status: delivered: Description: January 24 2:33 pm Delivered, In/At Mailbox in PADUCAH, KY, date: 24-01-2022 19:33",Hardway Warehouse
3870164593959,9400111107984517139139,USPS,19-01-2022 21:31,21-01-2022 14:46,"Status: delivered: Description: January 21 9:46 am Delivered, In/At Mailbox in UNION, MO, date: 21-01-2022 14:46",Hardway Warehouse
3870140519907,9400111107984517157478,USPS,19-01-2022 21:35,22-01-2022 20:57,"Status: delivered: Description: January 22 3:57 pm Delivered, In/At Mailbox in PARIS, TX, date: 22-01-2022 20:57",Hardway Warehouse
3870165099553,9400111107984517174277,USPS,19-01-2022 21:33,24-01-2022 18:01,"Status: delivered: Description: January 24 1:01 pm Delivered, In/At Mailbox in MENO, OK, date: 24-01-2022 18:01",Hardway Warehouse
